"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","일산서구",0세,1805,909,896
"경기도","일산서구",1세,2353,1189,1164
"경기도","일산서구",2세,2480,1272,1208
"경기도","일산서구",3세,2417,1286,1131
"경기도","일산서구",4세,2756,1376,1380
"경기도","일산서구",5세,2854,1487,1367
"경기도","일산서구",6세,2929,1524,1405
"경기도","일산서구",7세,2797,1431,1366
"경기도","과천시",0세,287,162,125
"경기도","과천시",1세,377,187,190
"경기도","과천시",2세,385,202,183
"경기도","과천시",3세,431,221,210
"경기도","과천시",4세,445,221,224
"경기도","과천시",5세,489,240,249
"경기도","과천시",6세,513,260,253
"경기도","과천시",7세,513,274,239
"경기도","구리시",0세,1261,637,624
"경기도","구리시",1세,1591,794,797
"경기도","구리시",2세,1708,861,847
"경기도","구리시",3세,1619,863,756
"경기도","구리시",4세,1846,974,872
"경기도","구리시",5세,1783,878,905
"경기도","구리시",6세,1772,914,858
"경기도","구리시",7세,1655,869,786
"경기도","남양주시",0세,4634,2331,2303
"경기도","남양주시",1세,5999,3102,2897
"경기도","남양주시",2세,6388,3270,3118
"경기도","남양주시",3세,6602,3405,3197
"경기도","남양주시",4세,7292,3749,3543
"경기도","남양주시",5세,7721,3988,3733
"경기도","남양주시",6세,7863,4030,3833
"경기도","남양주시",7세,7442,3821,3621
"경기도","오산시",0세,1973,1042,931
"경기도","오산시",1세,2441,1194,1247
"경기도","오산시",2세,2602,1340,1262
"경기도","오산시",3세,2663,1336,1327
"경기도","오산시",4세,2869,1521,1348
"경기도","오산시",5세,2975,1511,1464
"경기도","오산시",6세,3009,1533,1476
"경기도","오산시",7세,2746,1413,1333
"경기도","시흥시",0세,2892,1456,1436
"경기도","시흥시",1세,3559,1796,1763
"경기도","시흥시",2세,3769,1987,1782
"경기도","시흥시",3세,3618,1840,1778
"경기도","시흥시",4세,4065,2112,1953
"경기도","시흥시",5세,4207,2206,2001
"경기도","시흥시",6세,4210,2163,2047
"경기도","시흥시",7세,4135,2106,2029
"경기도","군포시",0세,2285,1148,1137
"경기도","군포시",1세,2685,1366,1319
"경기도","군포시",2세,2702,1383,1319
"경기도","군포시",3세,2682,1399,1283
"경기도","군포시",4세,2728,1380,1348
"경기도","군포시",5세,2803,1414,1389
"경기도","군포시",6세,2905,1512,1393
"경기도","군포시",7세,2665,1383,1282
"경기도","의왕시",0세,1035,550,485
"경기도","의왕시",1세,1246,634,612
"경기도","의왕시",2세,1337,691,646
"경기도","의왕시",3세,1347,662,685
"경기도","의왕시",4세,1495,751,744
"경기도","의왕시",5세,1532,802,730
"경기도","의왕시",6세,1498,809,689
"경기도","의왕시",7세,1371,705,666
"경기도","하남시",0세,1921,1035,886
"경기도","하남시",1세,2521,1253,1268
"경기도","하남시",2세,2532,1307,1225
"경기도","하남시",3세,2555,1302,1253
"경기도","하남시",4세,2723,1432,1291
"경기도","하남시",5세,2761,1407,1354
"경기도","하남시",6세,2749,1377,1372
"경기도","하남시",7세,2444,1266,1178
"경기도","용인시",0세,7406,3800,3606
"경기도","용인시",1세,9414,4786,4628
"경기도","용인시",2세,10292,5279,5013
"경기도","용인시",3세,10649,5427,5222
"경기도","용인시",4세,11332,5823,5509
"경기도","용인시",5세,11898,6125,5773
"경기도","용인시",6세,12370,6327,6043
"경기도","용인시",7세,11561,5933,5628
"경기도","처인구",0세,1507,763,744
"경기도","처인구",1세,1887,962,925
"경기도","처인구",2세,1952,1006,946
"경기도","처인구",3세,2065,1081,984
"경기도","처인구",4세,2059,1060,999
"경기도","처인구",5세,2223,1106,1117
"경기도","처인구",6세,2274,1153,1121
"경기도","처인구",7세,2126,1050,1076
"경기도","기흥구",0세,3366,1740,1626
"경기도","기흥구",1세,4342,2192,2150
"경기도","기흥구",2세,4833,2475,2358
"경기도","기흥구",3세,4925,2495,2430
"경기도","기흥구",4세,5234,2667,2567
"경기도","기흥구",5세,5683,2940,2743
"경기도","기흥구",6세,5707,2935,2772
"경기도","기흥구",7세,5319,2792,2527
"경기도","수지구",0세,2533,1297,1236
"경기도","수지구",1세,3185,1632,1553
"경기도","수지구",2세,3507,1798,1709
"경기도","수지구",3세,3659,1851,1808
"경기도","수지구",4세,4039,2096,1943
"경기도","수지구",5세,3992,2079,1913
"경기도","수지구",6세,4389,2239,2150
"경기도","수지구",7세,4116,2091,2025
"경기도","파주시",0세,3498,1750,1748
"경기도","파주시",1세,4286,2258,2028
"경기도","파주시",2세,4628,2297,2331
"경기도","파주시",3세,4666,2388,2278
"경기도","파주시",4세,4948,2516,2432
"경기도","파주시",5세,5118,2639,2479
"경기도","파주시",6세,5264,2652,2612
"경기도","파주시",7세,4836,2458,2378
"경기도","이천시",0세,1780,936,844
"경기도","이천시",1세,2111,1066,1045
"경기도","이천시",2세,2198,1147,1051
"경기도","이천시",3세,2143,1096,1047
"경기도","이천시",4세,2251,1138,1113
"경기도","이천시",5세,2287,1160,1127
"경기도","이천시",6세,2392,1252,1140
"경기도","이천시",7세,2141,1135,1006
"경기도","안성시",0세,1226,621,605
"경기도","안성시",1세,1530,780,750
"경기도","안성시",2세,1612,848,764
"경기도","안성시",3세,1636,837,799
"경기도","안성시",4세,1791,935,856
"경기도","안성시",5세,1845,917,928
"경기도","안성시",6세,1968,998,970
"경기도","안성시",7세,1783,925,858
"경기도","김포시",0세,3352,1727,1625
"경기도","김포시",1세,4355,2205,2150
"경기도","김포시",2세,4755,2447,2308
"경기도","김포시",3세,4681,2398,2283
"경기도","김포시",4세,5094,2594,2500
"경기도","김포시",5세,5400,2653,2747
"경기도","김포시",6세,5171,2743,2428
"경기도","김포시",7세,4748,2420,2328
"경기도","화성시",0세,7265,3661,3604
"경기도","화성시",1세,8663,4399,4264
"경기도","화성시",2세,9205,4731,4474
"경기도","화성시",3세,9161,4710,4451
"경기도","화성시",4세,9818,5080,4738
"경기도","화성시",5세,9987,5092,4895
"경기도","화성시",6세,10384,5286,5098
"경기도","화성시",7세,9444,4853,4591
"경기도","광주시",0세,2977,1499,1478
"경기도","광주시",1세,3653,1909,1744
"경기도","광주시",2세,3695,1921,1774
"경기도","광주시",3세,3578,1855,1723
"경기도","광주시",4세,3601,1818,1783
"경기도","광주시",5세,3704,1944,1760
"경기도","광주시",6세,3641,1872,1769
"경기도","광주시",7세,3091,1581,1510
"경기도","양주시",0세,1504,782,722
"경기도","양주시",1세,1776,912,864
"경기도","양주시",2세,1877,993,884
"경기도","양주시",3세,1888,961,927
"경기도","양주시",4세,2172,1069,1103
"경기도","양주시",5세,2257,1169,1088
"경기도","양주시",6세,2274,1146,1128
"경기도","양주시",7세,2166,1087,1079
"경기도","포천시",0세,871,465,406
"경기도","포천시",1세,1044,542,502
"경기도","포천시",2세,1108,549,559
"경기도","포천시",3세,1050,536,514
"경기도","포천시",4세,1119,560,559
"경기도","포천시",5세,1170,607,563
"경기도","포천시",6세,1192,638,554
"경기도","포천시",7세,1209,625,584
"경기도","여주시",0세,631,312,319
"경기도","여주시",1세,804,414,390
"경기도","여주시",2세,837,434,403
"경기도","여주시",3세,878,475,403
"경기도","여주시",4세,939,526,413
"경기도","여주시",5세,930,470,460
"경기도","여주시",6세,1018,504,514
"경기도","여주시",7세,893,472,421
"경기도","연천군",0세,365,205,160
"경기도","연천군",1세,391,195,196
"경기도","연천군",2세,337,159,178
"경기도","연천군",3세,381,178,203
"경기도","연천군",4세,380,215,165
"경기도","연천군",5세,319,161,158
"경기도","연천군",6세,370,194,176
"경기도","연천군",7세,302,153,149
"경기도","가평군",0세,358,190,168
"경기도","가평군",1세,385,199,186
"경기도","가평군",2세,375,193,182
"경기도","가평군",3세,373,197,176
"경기도","가평군",4세,376,193,183
"경기도","가평군",5세,476,230,246
"경기도","가평군",6세,469,228,241
"경기도","가평군",7세,431,222,209
"경기도","양평군",0세,611,322,289
"경기도","양평군",1세,699,355,344
"경기도","양평군",2세,748,373,375
"경기도","양평군",3세,800,415,385
"경기도","양평군",4세,808,401,407
"경기도","양평군",5세,924,488,436
"경기도","양평군",6세,944,507,437
"경기도","양평군",7세,892,445,447
