"행정구역별(시군구)","항목","단위","2010 년",
"동래구","남자","","211",
"동래구","여자","","340",
"남구","총인구","","293900",
"남구","남자","","144404",
"남구","여자","","149496",
"남구","총내국인","","291406",
"남구","남자","","143351",
"남구","여자","","148055",
"남구","총외국인","","2494",
"남구","남자","","1053",
"남구","여자","","1441",
"북구","총인구","","302141",
"북구","남자","","149659",
"북구","여자","","152482",
"북구","총내국인","","301296",
"북구","남자","","149351",
"북구","여자","","151945",
"북구","총외국인","","845",
"북구","남자","","308",
"북구","여자","","537",
"해운대구","총인구","","410084",
"해운대구","남자","","199000",
"해운대구","여자","","211084",
"해운대구","총내국인","","407851",
"해운대구","남자","","197879",
"해운대구","여자","","209972",
"해운대구","총외국인","","2233",
"해운대구","남자","","1121",
"해운대구","여자","","1112",
"사하구","총인구","","343324",
"사하구","남자","","170402",
"사하구","여자","","172922",
"사하구","총내국인","","340844",
"사하구","남자","","168838",
"사하구","여자","","172006",
"사하구","총외국인","","2480",
"사하구","남자","","1564",
"사하구","여자","","916",
"금정구","총인구","","247333",
"금정구","남자","","121157",
"금정구","여자","","126176",
"금정구","총내국인","","245725",
"금정구","남자","","120363",
"금정구","여자","","125362",
"금정구","총외국인","","1608",
"금정구","남자","","794",
"금정구","여자","","814",
"강서구","총인구","","54347",
"강서구","남자","","28496",
"강서구","여자","","25851",
"강서구","총내국인","","52207",
"강서구","남자","","26615",
"강서구","여자","","25592",
"강서구","총외국인","","2140",
"강서구","남자","","1881",
"강서구","여자","","259",
"연제구","총인구","","202943",
"연제구","남자","","98700",
"연제구","여자","","104243",
"연제구","총내국인","","202523",
"연제구","남자","","98544",
"연제구","여자","","103979",
"연제구","총외국인","","420",
"연제구","남자","","156",
"연제구","여자","","264",
"수영구","총인구","","169814",
"수영구","남자","","81175",
"수영구","여자","","88639",
"수영구","총내국인","","169081",
"수영구","남자","","80845",
"수영구","여자","","88236",
"수영구","총외국인","","733",
"수영구","남자","","330",
"수영구","여자","","403",
"사상구","총인구","","252243",
"사상구","남자","","126970",
"사상구","여자","","125273",
"사상구","총내국인","","249053",
"사상구","남자","","125072",
"사상구","여자","","123981",
"사상구","총외국인","","3190",
"사상구","남자","","1898",
"사상구","여자","","1292",
"기장군","총인구","","93783",
"기장군","남자","","46197",
