"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","동두천시",3세,780,409,371,875,441,434,836,426,410
"경기도","동두천시",4세,859,419,440,924,483,441,878,442,436
"경기도","동두천시",5세,870,456,414,978,510,468,902,477,425
"경기도","동두천시",6세,947,510,437,902,440,462,978,516,462
"경기도","동두천시",7세,905,456,449,919,439,480,915,450,465
"경기도","안산시",0세,4484,2361,2123,5594,2817,2777,4905,2534,2371
"경기도","안산시",1세,5160,2570,2590,5707,2890,2817,5647,2815,2832
"경기도","안산시",2세,5641,2805,2836,5712,2899,2813,5535,2795,2740
"경기도","안산시",3세,5390,2753,2637,6355,3177,3178,5564,2830,2734
"경기도","안산시",4세,5714,2894,2820,6313,3183,3130,6147,3051,3096
"경기도","안산시",5세,5962,2962,3000,6254,3205,3049,6093,3080,3013
"경기도","안산시",6세,6205,3154,3051,5946,3063,2883,6091,3129,2962
"경기도","안산시",7세,5783,2960,2823,6396,3316,3080,5802,2986,2816
"경기도","상록구",0세,2509,1322,1187,3206,1625,1581,2743,1412,1331
"경기도","상록구",1세,2937,1460,1477,3211,1644,1567,3213,1626,1587
"경기도","상록구",2세,3201,1638,1563,3172,1584,1588,3066,1586,1480
"경기도","상록구",3세,2918,1504,1414,3481,1749,1732,3032,1526,1506
"경기도","상록구",4세,3120,1576,1544,3415,1711,1704,3340,1672,1668
"경기도","상록구",5세,3230,1614,1616,3381,1702,1679,3262,1642,1620
"경기도","상록구",6세,3299,1677,1622,3153,1632,1521,3245,1650,1595
"경기도","상록구",7세,3087,1562,1525,3301,1723,1578,3063,1570,1493
"경기도","단원구",0세,1975,1039,936,2388,1192,1196,2162,1122,1040
"경기도","단원구",1세,2223,1110,1113,2496,1246,1250,2434,1189,1245
"경기도","단원구",2세,2440,1167,1273,2540,1315,1225,2469,1209,1260
"경기도","단원구",3세,2472,1249,1223,2874,1428,1446,2532,1304,1228
"경기도","단원구",4세,2594,1318,1276,2898,1472,1426,2807,1379,1428
"경기도","단원구",5세,2732,1348,1384,2873,1503,1370,2831,1438,1393
"경기도","단원구",6세,2906,1477,1429,2793,1431,1362,2846,1479,1367
"경기도","단원구",7세,2696,1398,1298,3095,1593,1502,2739,1416,1323
"경기도","고양시",0세,6728,3462,3266,8098,4071,4027,7360,3745,3615
"경기도","고양시",1세,8193,4182,4011,8440,4333,4107,8755,4435,4320
"경기도","고양시",2세,8841,4549,4292,8596,4397,4199,8654,4455,4199
